case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-2419/2025 ~ М-1832/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=6662918&case_uid=ece38163-4fcd-4744-b88e-5e7ea6103aec&delo_id=1540005,23.04.2025,Коренева Виктория Анатольевна,18.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",29.07.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=22523551&delo_id=1540005&new=0&text_number=1,5
2-2420/2025 ~ М-1831/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=6662778&case_uid=fa8d6600-3b9c-4386-bf23-43f76eaec646&delo_id=1540005,23.04.2025,Коренева Виктория Анатольевна,18.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",29.07.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=22523550&delo_id=1540005&new=0&text_number=1,5
2-2365/2025 ~ М-1830/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=6662774&case_uid=e0fb584b-3bb8-4964-9992-d0ecfb22bc50&delo_id=1540005,23.04.2025,Кирьязиев Владимир Алексеевич,31.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",03.09.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=21949702&delo_id=1540005&new=0&text_number=1,5
2-1919/2025 ~ М-1346/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4696429&case_uid=864fcd5a-5c38-4cea-a36e-66b2ac72c807&delo_id=1540005,25.03.2025,Антонов Александр Анатольевич,12.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",17.06.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=22129954&delo_id=1540005&new=0&text_number=1,5
2-1547/2025 ~ М-1162/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4399280&case_uid=07288db2-e803-4ab1-be7b-199ce05ecafd&delo_id=1540005,18.03.2025,Клавдеева Ольга Максимовна,06.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",21.06.2025,,5
2-1544/2025 ~ М-1161/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4399276&case_uid=60b16897-00ac-48dd-b67b-67a0d6f752a2&delo_id=1540005,18.03.2025,Титова Ольга Александровна,24.04.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",22.05.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=22129828&delo_id=1540005&new=0&text_number=1,6
2-1546/2025 ~ М-1160/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4399272&case_uid=b7934363-f3ca-4669-955e-425352542faa&delo_id=1540005,18.03.2025,Титова Ольга Александровна,24.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",10.06.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=7613047&delo_id=1540005&new=0&text_number=1,6
2-1701/2025 ~ М-1159/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4399268&case_uid=13923a63-9255-4683-be58-d75496498967&delo_id=1540005,18.03.2025,Клавдеева Ольга Максимовна,06.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",21.06.2025,,6
2-1548/2025 ~ М-1152/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4399233&case_uid=8c5e905c-a32d-45bb-975e-db950168bc97&delo_id=1540005,18.03.2025,Радюк Елена Валентиновна,29.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",14.07.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=22309632&delo_id=1540005&new=0&text_number=1,6
2-1551/2025 ~ М-1151/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4399222&case_uid=6ac80f19-f3d4-427e-b16f-68acdfdeeede&delo_id=1540005,18.03.2025,Радюк Елена Валентиновна,29.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",14.07.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=22309638&delo_id=1540005&new=0&text_number=1,6
