case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-683/2026 ~ М-279/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=25613207&case_uid=fdcb15db-ef36-455f-8690-008cebffaacb&delo_id=1540005,30.01.2026,Кручик Маргарита Владимировна,13.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",28.04.2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=29160523&delo_id=1540005&new=0&text_number=1,2
2-710/2026 ~ М-278/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=25613181&case_uid=42d9a48c-b645-4580-9e56-e537f74746f4&delo_id=1540005,30.01.2026,Ковалёва Эльвира Сергеевна,06.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",14.04.2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=23952571&delo_id=1540005&new=0&text_number=1,2
2-828/2026 ~ М-277/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=25613126&case_uid=7403cd7d-9dfe-47cd-a073-18ce1f8f84f7&delo_id=1540005,30.01.2026,Ковалёва Эльвира Сергеевна,24.04.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",09.06.2026,,2
2-749/2026 ~ М-276/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=25613113&case_uid=dab823fc-410f-430b-99dc-b440989f4f0d&delo_id=1540005,30.01.2026,Проценко Сергей Витальевич,25.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",07.05.2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=25677891&delo_id=1540005&new=0&text_number=1,2
2-817/2026 ~ М-275/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=25613101&case_uid=01f48001-1b7a-48b0-aa53-ae3a285eeca9&delo_id=1540005,30.01.2026,Семенова Татьяна Викторовна,26.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.05.2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=29978536&delo_id=1540005&new=0&text_number=1,2
2-684/2026 ~ М-274/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=25613072&case_uid=1d081028-c100-4144-a9a6-c2e43115166d&delo_id=1540005,30.01.2026,Кручик Маргарита Владимировна,13.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",28.04.2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=29160516&delo_id=1540005&new=0&text_number=1,2
2-815/2026 ~ М-273/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=25612616&case_uid=b376eabb-e12d-4237-9866-38781a54a9ed&delo_id=1540005,30.01.2026,Семенова Татьяна Викторовна,26.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.05.2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=29978533&delo_id=1540005&new=0&text_number=1,2
2-737/2026 ~ М-272/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=25612794&case_uid=6872b87e-09a7-4080-b0f7-d85cc4bcfa96&delo_id=1540005,30.01.2026,Проценко Сергей Витальевич,27.04.2026,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",21.05.2026,,2
2-709/2026 ~ М-271/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=25612832&case_uid=46506485-aed2-4f3b-a939-3ef51487295f&delo_id=1540005,30.01.2026,Ковалёва Эльвира Сергеевна,10.04.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",26.05.2026,,2
2-708/2026 ~ М-270/2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=25612820&case_uid=f415e609-6066-495a-bd49-0ae383a883d8&delo_id=1540005,30.01.2026,Ковалёва Эльвира Сергеевна,06.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",14.04.2026,https://centralno-gorodskoy--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=23952570&delo_id=1540005&new=0&text_number=1,2
