case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-3110/2024 ~ М-1793/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5352374&case_uid=a2a77dfd-552a-4f75-bd47-81c51a0be9a1&delo_id=1540005,23.10.2024,Романов Дмитрий Сергеевич,20.11.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",23.12.2024,,45
2-3109/2024 ~ М-1792/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5352352&case_uid=b381f417-1fac-45fa-9d23-4efd4391c92d&delo_id=1540005,23.10.2024,Романов Дмитрий Сергеевич,20.11.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",23.12.2024,,45
2-3111/2024 ~ М-1791/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5352329&case_uid=f1df38f9-1493-4390-b73a-5ea484221a50&delo_id=1540005,23.10.2024,Романов Дмитрий Сергеевич,20.11.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",24.12.2024,,45
2-3227/2024 ~ М-1790/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5352294&case_uid=30c1dc4d-1d24-453d-bd0e-cd984eec4595&delo_id=1540005,23.10.2024,Белоусов Павел Валериевич,16.12.2024,Производство по делу ПРЕКРАЩЕНО,06.01.2025,,45
2-3080/2024 ~ М-1789/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5352236&case_uid=cec16a22-c3fd-4dca-b7c9-2aa3f207cc3f&delo_id=1540005,23.10.2024,Романов Дмитрий Сергеевич,13.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",14.01.2025,,45
2-3375/2024 ~ М-1788/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5352176&case_uid=d7579320-e3f0-4f1d-be0a-e688900ef8fc&delo_id=1540005,23.10.2024,Мяконькая Татьяна Александровна,16.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",27.01.2025,,45
2-3056/2024 ~ М-1787/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5352202&case_uid=f1d2fe04-c6d1-47ed-934a-17c2b2d2706b&delo_id=1540005,23.10.2024,Кралинина Наталья Геннадьевна,12.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",21.01.2025,,45
2-3296/2024 ~ М-1786/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5352148&case_uid=f1682129-1799-42a7-bfbd-fa704d8293b3&delo_id=1540005,23.10.2024,Белоусов Павел Валериевич,16.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",27.01.2025,,46
2-3077/2024 ~ М-1785/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5352120&case_uid=6f7a2d01-ba20-441d-b62a-ef95ae3382a1&delo_id=1540005,23.10.2024,Струнов Никита Иванович,13.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",14.01.2025,,46
9-2059/2024 ~ М-1784/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5352086&case_uid=6aca2b7a-d3e9-420c-8516-41e3bc96d5fe&delo_id=1540005,23.10.2024,Мяконькая Татьяна Александровна,30.10.2024,Заявление ВОЗВРАЩЕНО заявителю,,,46
2-3055/2024 ~ М-1783/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5352027&case_uid=60edc51e-2cdd-4fa9-a74d-6eb3b3781c3a&delo_id=1540005,23.10.2024,Кралинина Наталья Геннадьевна,19.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",28.01.2025,,46
2-3297/2024 ~ М-1782/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5344045&case_uid=8a47491f-2f5f-4073-a554-a00814fc8bae&delo_id=1540005,23.10.2024,Белоусов Павел Валериевич,16.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.01.2025,,46
2-3079/2024 ~ М-1781/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5348620&case_uid=4041f662-d5ae-4575-9580-ebe978ca5c56&delo_id=1540005,23.10.2024,Романов Дмитрий Сергеевич,13.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",14.01.2025,,46
9-2058/2024 ~ М-1780/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351938&case_uid=f5fa671c-b75e-4d76-bb2d-c8a142d4182b&delo_id=1540005,23.10.2024,Мяконькая Татьяна Александровна,28.10.2024,Заявление ВОЗВРАЩЕНО заявителю,,,46
2-3054/2024 ~ М-1779/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351906&case_uid=d45ce36b-11fc-4b7c-b2a2-dc7120fdffa4&delo_id=1540005,23.10.2024,Кралинина Наталья Геннадьевна,19.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",28.01.2025,,46
2-3228/2024 ~ М-1778/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351894&case_uid=85639ccd-9a61-4689-8853-c8182118f022&delo_id=1540005,23.10.2024,Белоусов Павел Валериевич,16.12.2024,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",06.01.2025,,46
2-3078/2024 ~ М-1777/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351857&case_uid=13797925-d25e-47b8-965f-c81c8a2d3c72&delo_id=1540005,23.10.2024,Романов Дмитрий Сергеевич,13.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",14.01.2025,,46
2-3376/2024 ~ М-1776/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5309099&case_uid=54569084-9cc0-4a67-a5ed-d441d544544e&delo_id=1540005,23.10.2024,Мяконькая Татьяна Александровна,16.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",28.01.2025,,46
2-2994/2024 ~ М-1723/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5356129&case_uid=ae07627e-f868-4ddc-87ca-329f4134e028&delo_id=1540005,18.10.2024,Романов Дмитрий Сергеевич,06.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",07.01.2025,,46
