case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-3776/2025 ~ М-5960/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19737701&case_uid=f5de4740-963a-4fff-84ed-aa2d3c7447a6&delo_id=1540005,19.05.2025,Родина Неля Владимировна,28.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",29.08.2025,,9
2-3718/2025 ~ М-5945/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19737475&case_uid=f9097fce-0dde-49b0-96c7-04001975a1d0&delo_id=1540005,19.05.2025,Митьков Михаил Вячеславович,24.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",26.08.2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=22065440&delo_id=1540005&new=0&text_number=1,9
2-3780/2025 ~ М-5943/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19737430&case_uid=c7515f1f-6bb4-4fdf-9fb7-599b25e01300&delo_id=1540005,19.05.2025,Родина Неля Владимировна,22.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",23.08.2025,,9
2-3668/2025 ~ М-5941/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19737318&case_uid=6420f4ef-0294-4fe6-98b3-b6f23aaabdc2&delo_id=1540005,19.05.2025,Егорова Ольга Васильевна,15.08.2025,"ОТКАЗАНО в удовлетворении иска (заявлении, жалобы)",16.09.2025,,9
2-3669/2025 ~ М-5936/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19737163&case_uid=f9e066ec-a5c6-451e-aaae-493e29db5ed5&delo_id=1540005,19.05.2025,Егорова Ольга Васильевна,04.08.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",05.09.2025,,9
2-3766/2025 ~ М-5839/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19736971&case_uid=351571e2-7906-4a8d-927b-09de383332d2&delo_id=1540005,16.05.2025,Вострикова Оксана Михайловна,15.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.08.2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=17350173&delo_id=1540005&new=0&text_number=1,9
2-3726/2025 ~ М-5835/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19736758&case_uid=5c37eeef-5bc0-4cb7-a12e-12c490d6815f&delo_id=1540005,16.05.2025,Аникеева Диана Арзуниковна,15.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",26.08.2025,,9
2-3692/2025 ~ М-5833/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19736702&case_uid=a92ec13a-ad5a-4356-b8ed-9b5d97f37551&delo_id=1540005,16.05.2025,Симонова Елена Анатольевна,25.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",05.08.2025,,9
2-3764/2025 ~ М-5830/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19736570&case_uid=181ea9e9-ed0e-417f-97b7-05d7689ad8e3&delo_id=1540005,16.05.2025,Вострикова Оксана Михайловна,15.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.08.2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=17350174&delo_id=1540005&new=0&text_number=1,10
2-3691/2025 ~ М-5821/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19735424&case_uid=d181f93c-bbd3-40cb-8a10-096225a6e1ea&delo_id=1540005,16.05.2025,Симонова Елена Анатольевна,25.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",04.08.2025,,10
2-3690/2025 ~ М-5819/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19735324&case_uid=6b61d34b-484f-4a8b-9767-bf9745a6b0cb&delo_id=1540005,16.05.2025,Симонова Елена Анатольевна,25.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",04.08.2025,,10
2-3730/2025 ~ М-5815/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19733921&case_uid=e1786ee8-1f82-48cd-9e3e-5ae5418889ca&delo_id=1540005,16.05.2025,Аникеева Диана Арзуниковна,10.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",19.08.2025,,10
2-3667/2025 ~ М-5812/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19732995&case_uid=3f0be1db-34f6-458a-848f-9c5c8e0692ee&delo_id=1540005,16.05.2025,Егорова Ольга Васильевна,30.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",02.09.2025,,10
2-3759/2025 ~ М-5810/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19731399&case_uid=dd93697c-e075-4c2a-b44c-77b92bf221fe&delo_id=1540005,16.05.2025,Вострикова Оксана Михайловна,15.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.08.2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=17350175&delo_id=1540005&new=0&text_number=1,10
2-3727/2025 ~ М-5809/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19730931&case_uid=121efa33-5665-460d-9df3-804920448319&delo_id=1540005,16.05.2025,Аникеева Диана Арзуниковна,10.07.2025,"ОТКАЗАНО в удовлетворении иска (заявлении, жалобы)",19.08.2025,,10
2-3809/2025 ~ М-5808/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19730653&case_uid=e0eb4ec1-bd54-4cb5-bbdc-592d6392759c&delo_id=1540005,16.05.2025,Хамаганова Марина Владимировна,22.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",02.09.2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=23121313&delo_id=1540005&new=0&text_number=1,10
2-3689/2025 ~ М-5728/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19735670&case_uid=1c3b0ef2-7bdd-471f-8229-565ff3141f21&delo_id=1540005,15.05.2025,Аникеева Диана Арзуниковна,14.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",26.08.2025,,10
2-3540/2025 ~ М-5725/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19735596&case_uid=5547ce8d-c44c-4e43-82e8-62ee5715a925&delo_id=1540005,15.05.2025,Егорова Ольга Васильевна,30.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",02.09.2025,,10
