case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-862/2025 ~ М-718/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608272&case_uid=303a7018-a3cf-4f56-b022-d6e4bd2f466b&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,7
2-861/2025 ~ М-717/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608267&case_uid=bf09c358-72f4-4033-8a0b-ea5f4e5f7f26&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,7
2-860/2025 ~ М-716/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608262&case_uid=0eb4b2e8-fae6-40ae-9a59-cc5a8be73dd2&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,7
2-859/2025 ~ М-715/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608257&case_uid=cef31f0a-f38f-4bba-8043-fef25044d5fd&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,7
2-858/2025 ~ М-714/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608252&case_uid=fd606c82-06fc-41cc-b85c-383f801d61e5&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,7
2-857/2025 ~ М-713/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608247&case_uid=6f5285e0-6b7d-4e02-b6ca-7bb0cfefd3ae&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,7
2-856/2025 ~ М-712/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608242&case_uid=69547f2d-1d57-4d2f-81e4-e0e1ef899e4f&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,7
2-855/2025 ~ М-711/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608237&case_uid=71b43c60-3de1-4061-ba2e-d235ee17ec65&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,7
2-854/2025 ~ М-710/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608232&case_uid=944e51e9-1977-4c34-a585-80bc0b162b4e&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,7
2-853/2025 ~ М-709/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608227&case_uid=2b4d4f16-c906-4c53-9ab4-79012a0c53c2&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.12.2025,,7
2-852/2025 ~ М-708/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608222&case_uid=98982fda-3223-4972-9402-3094152c1235&delo_id=1540005,27.08.2025,Шемигон Ирина Викторовна,21.10.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",13.11.2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=20726821&delo_id=1540005&new=0&text_number=1,7
2-851/2025 ~ М-707/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608217&case_uid=d4bd28e8-ff26-487e-b7a0-ad33f42da324&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,7
2-850/2025 ~ М-706/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608212&case_uid=203796ee-d5cd-4eba-aeff-54366712d90c&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,7
2-849/2025 ~ М-705/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608207&case_uid=8b9e3afa-6394-4d83-9d6b-f13c2b76e308&delo_id=1540005,27.08.2025,Шемигон Ирина Викторовна,21.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",24.11.2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=21265435&delo_id=1540005&new=0&text_number=1,7
2-848/2025 ~ М-704/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608202&case_uid=4b38e88a-7508-4036-8775-abd93c5ec168&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,7
2-847/2025 ~ М-703/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608197&case_uid=a8a15937-01cd-44c1-a765-c0a6d39b559f&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,7
2-846/2025 ~ М-702/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608192&case_uid=8ec63ad1-5ace-47a5-9f0f-4827109dc6e0&delo_id=1540005,27.08.2025,Шемигон Ирина Викторовна,28.10.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",20.11.2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=21046265&delo_id=1540005&new=0&text_number=1,8
2-845/2025 ~ М-701/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608187&case_uid=a8ec260c-d3dd-4ec6-95b6-378a22462746&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,8
2-844/2025 ~ М-700/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608182&case_uid=313f42c7-e290-449e-946a-aa4666e3f24b&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.12.2025,,8
2-843/2025 ~ М-699/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608177&case_uid=8a6592d2-7a05-4c48-be64-ef283ef402bf&delo_id=1540005,27.08.2025,Попова Инна Константиновна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,8
2-842/2025 ~ М-698/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608172&case_uid=2c878037-48de-4c48-b346-b8a833599857&delo_id=1540005,27.08.2025,Попова Инна Константиновна,24.11.2025,Производство по делу ПРЕКРАЩЕНО,16.12.2025,,8
2-841/2025 ~ М-697/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608167&case_uid=ceca2f0c-8da0-4e29-aeef-0d22701f7cc3&delo_id=1540005,27.08.2025,Попова Инна Константиновна,24.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,8
2-840/2025 ~ М-696/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608162&case_uid=411dda59-be72-41c4-9158-26dd96aae02d&delo_id=1540005,27.08.2025,Попова Инна Константиновна,24.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,8
2-839/2025 ~ М-695/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608157&case_uid=7a8e02d2-b865-431c-a462-9401bdc70f52&delo_id=1540005,27.08.2025,Шемигон Ирина Викторовна,28.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.12.2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=20974201&delo_id=1540005&new=0&text_number=1,8
2-838/2025 ~ М-694/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608152&case_uid=751c0a0e-a498-43c7-b429-5e9197377bd3&delo_id=1540005,27.08.2025,Попова Инна Константиновна,24.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,8
