case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-1543/2025 ~ М-1269/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=8055788&case_uid=56283175-dbdb-4835-bead-53b75ab4e059&delo_id=1540005,30.05.2025,Ахтямова Эльвира Саматовна,02.09.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",24.09.2025,,6
2-1544/2025 ~ М-1268/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=8055783&case_uid=82493007-0c6b-4d0a-b27e-5fb4e94f4141&delo_id=1540005,30.05.2025,Ахтямова Эльвира Саматовна,16.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",19.08.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=12689855&delo_id=1540005&new=0&text_number=1,6
2-1585/2025 ~ М-1267/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=8055772&case_uid=2f54260c-17b8-4b3b-ba92-ce4b4a4369eb&delo_id=1540005,30.05.2025,Павленко Денис Константинович,09.07.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",31.07.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=18905111&delo_id=1540005&new=0&text_number=1,6
2-1550/2025 ~ М-1250/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7988058&case_uid=e1483099-ba68-4879-a61d-9fc3342890a0&delo_id=1540005,29.05.2025,Ахтямова Эльвира Саматовна,16.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",26.08.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=12689862&delo_id=1540005&new=0&text_number=1,6
2-1552/2025 ~ М-1249/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7988053&case_uid=cbf03b3e-feb1-49aa-9d47-3692442a190a&delo_id=1540005,29.05.2025,Митерев Эльдар Евгеньевич,29.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.09.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=16463724&delo_id=1540005&new=0&text_number=1,6
2-1564/2025 ~ М-1248/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7988048&case_uid=38e3c671-b052-4066-9f2e-1fc9ea6353de&delo_id=1540005,29.05.2025,Павленко Денис Константинович,02.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.08.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=18905098&delo_id=1540005&new=0&text_number=1,6
2-1559/2025 ~ М-1247/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7988043&case_uid=0b62834e-1983-48ba-8e7b-8405831396f6&delo_id=1540005,29.05.2025,Митерев Эльдар Евгеньевич,29.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.09.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=16463726&delo_id=1540005&new=0&text_number=1,6
2-1548/2025 ~ М-1246/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7988038&case_uid=3ae39c4b-4e0e-43bf-9d68-c0c9a2f53ae1&delo_id=1540005,29.05.2025,Ахтямова Эльвира Саматовна,29.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",02.09.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=12689857&delo_id=1540005&new=0&text_number=1,6
2-1549/2025 ~ М-1245/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7988033&case_uid=958c4328-e47c-4d01-8bcc-a13f44496155&delo_id=1540005,29.05.2025,Ахтямова Эльвира Саматовна,16.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",26.08.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=12689861&delo_id=1540005&new=0&text_number=1,6
2-1563/2025 ~ М-1244/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7988028&case_uid=4ece109f-d7cd-4b14-86e2-e209ad426db7&delo_id=1540005,29.05.2025,Павленко Денис Константинович,02.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.08.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=18905099&delo_id=1540005&new=0&text_number=1,6
