case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-919/2026 ~ М-881/2026,https://genicheskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=1649465&case_uid=8ce2b6b7-3adb-4620-be34-5459a1619f77&delo_id=1540005,11.06.2026,Абдуллина Мадина Зиннуровна,,,,,1
М-870/2026,https://genicheskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=1648731&case_uid=f0cb9615-52b4-4fd0-9f08-edfc842f0746&delo_id=1540005,09.06.2026,Абдуллина Мадина Зиннуровна,,,,,1
2-797/2026 ~ М-791/2026,https://genicheskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=1503941&case_uid=9aaad098-fa79-4362-b5d7-776e483d7eb8&delo_id=1540005,26.05.2026,Абдуллина Мадина Зиннуровна,,,,,1
9-164/2026 ~ М-737/2026,https://genicheskiy--hrs.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=1482389&case_uid=0d0461e3-82e4-4f29-aff9-299cd3194a89&delo_id=1540005,21.05.2026,Мердымшаева Динара Рустемовна,25.05.2026,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",,,1
