case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-160/2026 ~ М-136/2026,https://marin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=26771223&case_uid=f08af6fb-9549-497e-8350-9ab248159760&delo_id=1540005,04.05.2026,Баранец Оксана Анатольевна,,,,,1
2-85/2026 ~ М-56/2026,https://marin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22265201&case_uid=34c30438-da19-400a-94d2-25e6326c3f4f&delo_id=1540005,27.02.2026,Кулагина Анна Сергеевна,14.04.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",19.05.2026,,1
2-87/2026 ~ М-54/2026,https://marin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=22089659&case_uid=3af616b6-a1b4-4a76-9f57-83cd9a5f134d&delo_id=1540005,25.02.2026,Баранец Оксана Анатольевна,22.04.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",09.06.2026,,1
2-35/2026 (2-118/2025;) ~ М-144/2025,https://marin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=18076061&case_uid=10ffcd6c-0191-44e9-acfc-99d3b962f063&delo_id=1540005,22.12.2025,Баранец Оксана Анатольевна,05.02.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",19.03.2026,,1
2-44/2025 ~ М-53/2025,https://marin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=12803393&case_uid=974c4f0e-dde1-4cc0-aceb-d05640a39f81&delo_id=1540005,23.09.2025,Кулагина Анна Сергеевна,07.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.12.2025,https://marin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=18338542&delo_id=1540005&new=0&text_number=1,1
