case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-89/2026 (2-1854/2025;) ~ М-2062/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19042178&case_uid=7390965e-1e22-4a0a-9f0a-423597521567&delo_id=1540005,26.11.2025,Скичко Елена Викторовна,26.01.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",03.03.2026,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=26940015&delo_id=1540005&new=0&text_number=1,3
2-85/2026 (2-1848/2025;) ~ М-2061/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19042119&case_uid=85b8e0ac-273d-462f-9b93-8398b9d06ab2&delo_id=1540005,26.11.2025,Андреева Светлана Анатольевна,20.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",28.04.2026,,3
2-80/2026 (2-1843/2025;) ~ М-2060/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19041925&case_uid=9542d77c-1f5a-497c-8561-5a612a08e5c1&delo_id=1540005,26.11.2025,Федько Светлана Павловна,19.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",28.04.2026,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=27032614&delo_id=1540005&new=0&text_number=1,3
2-81/2026 (2-1844/2025;) ~ М-2059/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19041851&case_uid=29f91649-3669-48b9-9ba1-01c87b952a16&delo_id=1540005,26.11.2025,Федько Светлана Павловна,19.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",28.04.2026,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=27032612&delo_id=1540005&new=0&text_number=1,3
2-87/2026 (2-1852/2025;) ~ М-2058/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19041828&case_uid=ab4b9deb-8e92-4e43-9a0d-b29cebc017c5&delo_id=1540005,26.11.2025,Скичко Елена Викторовна,26.01.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",03.03.2026,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=26940014&delo_id=1540005&new=0&text_number=1,3
2-88/2026 (2-1853/2025;) ~ М-2057/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19041737&case_uid=0e43db77-197d-4c2b-8dfb-aec7372c6983&delo_id=1540005,26.11.2025,Скичко Елена Викторовна,26.01.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",03.03.2026,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=26940010&delo_id=1540005&new=0&text_number=1,3
2-82/2026 (2-1845/2025;) ~ М-2056/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19041647&case_uid=5561f04f-12b3-4f29-bda2-4efaa90a10c3&delo_id=1540005,26.11.2025,Андреева Светлана Анатольевна,20.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",28.04.2026,,3
2-90/2026 (2-1855/2025;) ~ М-2055/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19041612&case_uid=9a5c2961-b3d5-4f5f-b9a9-b9e6a72f3449&delo_id=1540005,26.11.2025,Скичко Елена Викторовна,26.01.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",03.03.2026,,3
2-1778/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19041690&case_uid=0a2480bc-0d94-443d-a8ef-b4aa7742c4c5&delo_id=1540005,07.11.2025,Андреева Светлана Анатольевна,20.11.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",12.12.2025,,4
2-1745/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19041385&case_uid=718be457-2324-455e-9af0-ffa61f8c73e5&delo_id=1540005,06.11.2025,Андреева Светлана Анатольевна,01.12.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",23.12.2025,,4
2-1602/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19039877&case_uid=2792f14c-eacc-405a-8534-a8051a9fb7fc&delo_id=1540005,13.10.2025,Скичко Елена Викторовна,20.10.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",05.11.2025,,4
2-1547/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19039714&case_uid=39aa17e4-87a3-48ae-82ad-0e68b5d711b6&delo_id=1540005,06.10.2025,Андреева Светлана Анатольевна,29.10.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",21.11.2025,,4
2-1485/2025 ~ М-1622/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19038420&case_uid=f4e0b91c-8378-4eec-99cb-f0e61d90e4a9&delo_id=1540005,23.09.2025,Скичко Елена Викторовна,20.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.12.2025,,4
2-1487/2025 ~ М-1621/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19038403&case_uid=f37a9922-89d8-4431-95a9-2eeb99b9b5fb&delo_id=1540005,23.09.2025,Андреева Светлана Анатольевна,16.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.11.2025,,4
2-1484/2025 ~ М-1620/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19038389&case_uid=ede1309c-0866-4e73-84f4-b36258580708&delo_id=1540005,23.09.2025,Скичко Елена Викторовна,20.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.12.2025,,4
2-1483/2025 ~ М-1619/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19038375&case_uid=c7ce09f0-c646-4fe5-af42-58c4c58c2dc5&delo_id=1540005,23.09.2025,Скичко Елена Викторовна,20.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.12.2025,,4
2-1482/2025 ~ М-1618/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19038360&case_uid=7e0aacd3-5c9f-4ba6-9576-09d8da588e3e&delo_id=1540005,23.09.2025,Скичко Елена Викторовна,20.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.12.2025,,4
2-1488/2025 ~ М-1617/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19038345&case_uid=af4256fd-d39b-4de4-aa37-a77fe76b8648&delo_id=1540005,23.09.2025,Андреева Светлана Анатольевна,14.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.12.2025,,4
2-1489/2025 ~ М-1616/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19038330&case_uid=f03dbad3-4530-48a1-9af6-f85b9a4bac9c&delo_id=1540005,23.09.2025,Андреева Светлана Анатольевна,14.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.12.2025,,4
2-1196/2025 ~ М-1274/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033656&case_uid=2d8843cd-3dee-43f1-947e-97b2cf64fa24&delo_id=1540005,30.07.2025,Федько Светлана Павловна,06.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.11.2025,,4
2-1197/2025 ~ М-1273/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033643&case_uid=21486ced-f4c3-4c2a-a1a9-44549443c685&delo_id=1540005,30.07.2025,Федько Светлана Павловна,06.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.11.2025,,4
2-1198/2025 ~ М-1272/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033623&case_uid=f5dc92fa-3b94-4d3d-9adb-f4f34364804d&delo_id=1540005,30.07.2025,Федько Светлана Павловна,07.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.11.2025,,4
2-1199/2025 ~ М-1271/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033610&case_uid=13f77ee7-24a4-4f3b-a674-a55a0cd15666&delo_id=1540005,30.07.2025,Федько Светлана Павловна,08.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.11.2025,,4
2-1200/2025 ~ М-1270/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033597&case_uid=1784a1ba-a8c6-4c57-ab5f-1f68033f7026&delo_id=1540005,30.07.2025,Федько Светлана Павловна,08.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.11.2025,,4
2-1201/2025 ~ М-1269/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033584&case_uid=ca253047-7dd6-4125-9f20-63ba4b9903ac&delo_id=1540005,30.07.2025,Федько Светлана Павловна,07.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.11.2025,,4
2-1202/2025 ~ М-1268/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033571&case_uid=032a2672-a473-424f-9a99-c241b5fe5a2f&delo_id=1540005,30.07.2025,Федько Светлана Павловна,09.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.11.2025,,4
2-1203/2025 ~ М-1267/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033558&case_uid=f4b21831-3017-458d-897d-2830569dd835&delo_id=1540005,30.07.2025,Федько Светлана Павловна,09.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.11.2025,,4
