case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-129/2025 ~ М-43/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2185307&case_uid=c6de6961-b05e-422f-8a25-4809224bd9c3&delo_id=1540005,30.01.2025,Бойко Николай Иванович,14.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",29.04.2025,,7
2-122/2025 ~ М-35/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2185351&case_uid=d6b32800-49e4-41c4-826b-f81ab910ce23&delo_id=1540005,21.01.2025,Чинёнов Александр Викторович,10.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",22.04.2025,,7
2-114/2025 ~ М-34/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2185339&case_uid=3a982fad-083a-49a0-8860-bd9a09f7f063&delo_id=1540005,21.01.2025,Бойко Николай Иванович,21.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",06.05.2025,,7
2-113/2025 ~ М-33/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2185318&case_uid=27679b0a-9165-4cc6-a702-4716a0f4d12b&delo_id=1540005,21.01.2025,Бойко Николай Иванович,21.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",06.05.2025,,7
2-121/2025 ~ М-32/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2185295&case_uid=e3b07147-78a6-4548-b0ab-4fc813713c17&delo_id=1540005,21.01.2025,Чинёнов Александр Викторович,10.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",22.04.2025,,7
2-112/2025 ~ М-31/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2185272&case_uid=26b854da-cb77-4339-9d80-4b461312841c&delo_id=1540005,21.01.2025,Бойко Николай Иванович,21.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",06.05.2025,,7
2-111/2025 ~ М-30/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2185250&case_uid=da7ae599-878c-4b6b-b530-bdea41ab2e67&delo_id=1540005,21.01.2025,Бойко Николай Иванович,06.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",22.04.2025,,7
2-110/2025 ~ М-29/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2185239&case_uid=90267dc8-0cc3-402e-aac0-40a3c265e8e0&delo_id=1540005,21.01.2025,Бойко Николай Иванович,06.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",22.04.2025,,7
2-109/2025 ~ М-28/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2185226&case_uid=e7311f42-a0f4-4909-82d4-fcb7a7aae17c&delo_id=1540005,21.01.2025,Бойко Николай Иванович,21.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",06.05.2025,,7
2-120/2025 ~ М-27/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2185214&case_uid=3afb3222-1087-4e95-a621-7fe67d935f22&delo_id=1540005,21.01.2025,Чинёнов Александр Викторович,11.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.05.2025,,7
2-108/2025 ~ М-26/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2185203&case_uid=7cb092f5-d826-4cef-97a2-ca0fce96d27a&delo_id=1540005,21.01.2025,Бойко Николай Иванович,06.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",22.04.2025,,7
2-119/2025 ~ М-25/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2185191&case_uid=a376e056-6300-4017-b47f-2376173c3914&delo_id=1540005,21.01.2025,Чинёнов Александр Викторович,10.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",22.04.2025,,7
2-118/2025 ~ М-24/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2185179&case_uid=a8506f33-0d53-4afa-a589-5e970a2ee4eb&delo_id=1540005,21.01.2025,Чинёнов Александр Викторович,10.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",22.04.2025,,7
2-107/2025 ~ М-23/2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2185167&case_uid=584de429-8fbd-4657-9283-87f52552de74&delo_id=1540005,21.01.2025,Бойко Николай Иванович,06.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",22.04.2025,,7
2-67/2025 (2-449/2024;),https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2185563&case_uid=7b93dc51-5180-498a-bb0f-a51fd7d84118&delo_id=1540005,09.12.2024,Чинёнов Александр Викторович,11.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.04.2025,,7
2-66/2025 (2-448/2024;),https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2185539&case_uid=4bea3a1e-558d-464a-bbd7-f4f15692565d&delo_id=1540005,09.12.2024,Чинёнов Александр Викторович,25.02.2025,"ОТКАЗАНО в удовлетворении иска (заявлении, жалобы)",11.04.2025,,7
2-65/2025 (2-447/2024;),https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184317&case_uid=045e32a9-9840-41f5-90bf-93bf496e34c5&delo_id=1540005,09.12.2024,Чинёнов Александр Викторович,25.02.2025,"ОТКАЗАНО в удовлетворении иска (заявлении, жалобы)",11.04.2025,,7
2-64/2025 (2-446/2024;),https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184305&case_uid=002fe6d3-fa38-4a45-bdcd-cd6cfecce8f0&delo_id=1540005,09.12.2024,Чинёнов Александр Викторович,25.02.2025,"ОТКАЗАНО в удовлетворении иска (заявлении, жалобы)",11.04.2025,,7
2-63/2025 (2-445/2024;),https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184293&case_uid=0e68b23d-4bb5-47be-959d-d4263d19aad7&delo_id=1540005,09.12.2024,Чинёнов Александр Викторович,11.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.04.2025,,8
2-62/2025 (2-444/2024;),https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184224&case_uid=89d5ca93-6afc-410f-9a6d-3b00c37d70be&delo_id=1540005,09.12.2024,Чинёнов Александр Викторович,25.02.2025,"ОТКАЗАНО в удовлетворении иска (заявлении, жалобы)",11.04.2025,,8
2-70/2025 (2-452/2024;) ~ М-390/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184679&case_uid=f756236a-0ad6-499b-a212-660f3c5ea6f8&delo_id=1540005,04.12.2024,Чинёнов Александр Викторович,21.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",06.05.2025,,8
2-61/2025 (2-443/2024;) ~ М-389/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184633&case_uid=41368f76-5e51-407b-af8a-17ef63b48b34&delo_id=1540005,04.12.2024,Бойко Николай Иванович,04.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",15.04.2025,,8
2-60/2025 (2-442/2024;) ~ М-388/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184611&case_uid=24aee1eb-6fcc-463d-8c83-41047ac3714b&delo_id=1540005,04.12.2024,Бойко Николай Иванович,21.01.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",28.02.2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=16934723&delo_id=1540005&new=0&text_number=1,8
2-57/2025 (2-439/2024;),https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184750&case_uid=edcc5106-238a-45f2-9ec2-5482078bfd45&delo_id=1540005,03.12.2024,Бойко Николай Иванович,30.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,8
