case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-8499/2025 ~ М-8559/2025,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=16284584&case_uid=27e87bad-ee44-4eed-af89-a3de1cace48f&delo_id=1540005,19.11.2025,Голубицкая Кристина Александровна,23.12.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",23.12.2025,,8
2-8364/2025 ~ М-8221/2025,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15839112&case_uid=c27257d9-c988-42ed-bf57-75151724eed1&delo_id=1540005,11.11.2025,Лопарев Антон Александрович,05.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",20.01.2026,,8
2-8224/2025 ~ М-8220/2025,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15839098&case_uid=35c1f7bd-20ea-4834-aa22-20f706d3adef&delo_id=1540005,11.11.2025,Козлова Анна Александровна,01.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",16.01.2026,,8
2-263/2026 (2-8387/2025;) ~ М-8219/2025,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15839094&case_uid=f11c479c-264f-458f-924c-526dbc10f3df&delo_id=1540005,11.11.2025,Степаненко Виктория Борисовна,19.02.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.03.2026,,9
2-241/2026 (2-8303/2025;) ~ М-8218/2025,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15839090&case_uid=a07dcf9d-fde2-45c4-8282-def5b9017628&delo_id=1540005,11.11.2025,Кирсанова Светлана Анатольевна,17.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",04.05.2026,,9
2-8388/2025 ~ М-8217/2025,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15839086&case_uid=59c8fa9f-b6de-4106-8a0a-d6bf776434d6&delo_id=1540005,11.11.2025,Степаненко Виктория Борисовна,19.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",27.01.2026,,9
2-240/2026 (2-8301/2025;) ~ М-8216/2025,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15839068&case_uid=96938851-ad2b-4def-94f3-3be6588e0d30&delo_id=1540005,11.11.2025,Кирсанова Светлана Анатольевна,17.03.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",04.05.2026,,9
2-8210/2025 ~ М-8215/2025,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15839064&case_uid=7fbd3623-a9ce-4dcd-89b6-35ccf7e53f48&delo_id=1540005,11.11.2025,Сиренко Екатерина Ивановна,02.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",19.01.2026,,9
2-235/2026 (2-8284/2025;) ~ М-8214/2025,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15839017&case_uid=98d67db0-b0db-4d05-9c70-ff8fdfbf11f4&delo_id=1540005,11.11.2025,Зайнуллин Фаниль Юлаевич,12.02.2026,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",06.03.2026,,9
2-239/2026 (2-8299/2025;) ~ М-8213/2025,https://vr--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=15838110&case_uid=a7de8581-3423-466b-9d0d-8f72ca4217e4&delo_id=1540005,11.11.2025,Кирсанова Светлана Анатольевна,07.04.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",21.05.2026,,9
